ID,DescEN
blues.00049_15s,"This is an instrumental piece with a resonant chorus and lead guitar. Clear, articulate and deep tone. The phrase is a good combination of chord tones and a simple phrased drum is heard in the background."
blues.00050_15s,A blues piece with smokey vocals. Progresses on classic blues chords and rhythms. Rhythm guitar and bass provide a sense of unity. Striking backing vocals are heard on the lead guitar.
blues.00052_15s,Slow blues with a slow groove. A rough rhythmic approach by the bass and a lead guitar melody that is played like a shouting match can be heard over the standard blues backing. There is a clarity to the delay that works well on the guitar.
blues.00053_15s,This is a rhythmic blues piece. Breathless vocal and chorus harmonies are heard with drums and grooving bass in the background. The melody is complemented by impactful backing from the guitar.
blues.00060_15s,"This is a blues piece with strong gritty vocals and band. Background drums and bass match the bluesy style of music, and moderately distorted blues guitar cutting can be heard."
blues.00062_15s,"This is blues with youthful, energetic vocals. There is a bluesy chorus with harmonica and an impressive piano approach to the high notes. Drums and bass can be heard in the background supporting a solid rhythm."
blues.00063_15s,"This is a blues with soulful vocals and brass instruments. The vocals have a slightly loose approach, and brass harmonies can be heard. There is a finely chopped drum rhythm in the background."
blues.00064_15s,"This is a blues with bandoneon and brass instruments as the main instruments. A thick, airy bandoneon lead echo is heard with brass backing. In the background there are drums with a powerful driving beat."
blues.00065_15s,"This is a blues with powerful vocals and a brass band as the main instrument. Sharp rhythmic approach of brass instruments and heavy, effective harmonies of woodwinds are heard. There are heavy, finely chopped drums in the background."
blues.00066_15s,This is a bright and energetic upbeat blues. Lively vocals are heard with a bluesy piano that uses a lot of blues scales. In the background there is wind backing and strong swinging drums.
blues.00068_15s,"This is a blues piece with accordion, brass instruments and drums as the main instruments. Rich harmonies and thick tones are heard on the accordion, which plays on a chord bass. In the background there is a rhythmic backing of brass instruments and a snare-driven drum rhythm."
blues.00069_15s,"This is swing blues with a traditional sounding male vocal, blues harp, bass and drums. The blues harp is heard to have a rich sound with lots of bends and an impressive riff from the bass. In the background are drums beating a traditional beat."
blues.00072_15s,"This is an accordion-driven blues piece. The accordion's unique tone is heard, rich in chord tones with a lot of bellow vibrato. In the background there is a simple bass phrase and drums punctuated with hi-hats."
blues.00073_15s,"This is a blues piece featuring a glass-voiced male vocal and accordion. The emotional, flexible, vibrato-driven vocal delivery is complemented by the linear chord tones of the accordion lead. Bluesy drums and bass can be heard in the background."
blues.00074_15s,The blues is centred around the driving vocals and organ. Strong rhythmic energy vocals with bluesy melodic organ and lead organ heard thickened by rotary speaker effects. There are drums and bass in the background.
blues.00076_15s,The blues is mainly accordion-driven with extended vocals. The way the notes are connected gives the vocals a country feel and the accordion chords sound swollen. There is rhythmic bass and drums in the background. The high notes of the guitar are effective.
blues.00077_15s,"This is a blues with slide-style vocals supported by a rhythmic organ. Strong rhythmic vocals are heard in the foreground, with rhythmic organ backing and light bass phrases. Background drums support the beat strongly."
blues.00078_15s,"This musical piece is sung in a rough, loose vocal style. There is a keyboard instrument and bass that loop the riffs in a detailed rhythmic manner. The drums in the background also support the rhythm with loops as well. It fits well with thrilling scenes."
blues.00079_15s,This blues piece combines extended long-tone vocals and accordion. Powerful running bass and an impressive unison part between keyboard instrument and bass are heard. Background drum accents are effective.
blues.00080_15s,"This blues piece features light twin vocals and organ. Rhythmic, lilting vocals and chorus with organ backing and effective trills are heard. The background consists of grooving bass and drums."
blues.00085_15s,This is country blues with country-style acoustic guitar and male vocals. The vocals are a little rough and relaxed and are played with a three-finger technique on acoustic guitar. A natural sounding bass can be heard.
blues.00089_15s,"This blues piece features deep, heavy, deep vocals and a twin unit of wood bass. A male vocal with lingering emotional expression and a deep resonant wood bass can be heard, with bass and repellent string sounds; fits well with scenes reminiscent of 1950s bars, etc."
blues.00090_15s,"This is a trio blues piece with vocals, guitar and wood bass. The vocals are rich in the lower register, with rhythmic playing of the wood bass and effective treble backing from the guitar. It fits well with a relaxed atmosphere."
blues.00092_15s,"This is a slow blues piece by a three-piece group. The male vocalist has a broad, expansive voice, and you can hear the shimmering tone of the guitar approaching the core of the rhythm with high notes. The wood bass supports the whole space with long notes, utilising the bass."
blues.00094_15s,"This is swinging blues with laid-back vocals. The laid-back, relaxed male vocals are impressive. The blues harp has a sharp, deep tone and the wood bass is rich in intonation. Light guitar cutting can be heard."
blues.00095_15s,This is a musical piece with gritty vocals and a simple backing sound. The distinctive grind of the vocals and the impressive arpeggio-tempo fast cutting of the clear-toned guitar can be heard along with the bass.
blues.00096_15s,"The composition is simple, with only vocals and acoustic guitar. The reverb-like arpeggios of the acoustic guitar and the rich vibrato of the melody played in a bottleneck style can be heard. The deep resonance of the harmonics is impressive."
blues.00098_15s,"The chachy melodies by the brass instruments are impressive. Steady synthesiser backing is heard with strong, impactful guitar phrasing. There is a soulful vocal section with male vocals and a strong drum rhythm in the background."
classical.00003_15s,"The oboe takes the lead role in this classical piece. The oboe plays the main melody, supported by several stringed instruments such as violins and harpsichord behind it. It is baroque music, classical and flamboyant at the same time."
classical.00005_15s,"It is a classical work composed mainly of stringed instruments. Several violins, violas and cellos are divided into parts in the ensemble. The harpsichord is also used for the bass and chordal parts, which adds to the glamour of the piece."
classical.00006_15s,"This classical piece uses strings and harpsichord. A melody in the lower register appears to follow the melody in the higher register and repeats it. Both melodies are based on the same rhythm, and after a dialogue they are combined into a single melody."
classical.00007_15s,"Strings and harpsichord are used. It is a fast three-beat piece, in a major key, with a bright tune. The melody and accompaniment are often staccato, expressing lightness and flamboyance."
classical.00008_15s,"Several violins play the melody. The melody is simple and almost unison, but it moves between minor and major keys and changes expression from one to the other."
classical.00010_15s,"The oboe appears in the gorgeous atmosphere created by the strings and harpsichord. The oboe is interrupted by the strings, and the music progresses in a gorgeous atmosphere."
classical.00011_15s,"This is an orchestral work. The woodwinds play a slow melody, while in the background the violins support the melody with a fine rhythm. The cellos and double basses sing another melody in the bass."
classical.00012_15s,The music is dominated by string instruments. The melody is heard thinly traced by the wind instruments. The accompaniment consists of strings and is in beautiful harmony.
classical.00015_15s,"Several violins play the beautiful melody in unison. Where the violins are stretched out, the other string instruments gently fill in the gaps in harmony. Wind instruments enter to accompany them."
classical.00016_15s,"The music is composed of several string instruments. The bass follows the melody played by the treble notes. There is a fine rhythmic part in the background, which gives an exciting feeling."
classical.00017_15s,"Orchestral work. It has a dramatic development and a very wide range of dynamics. From the rich chords expressed by each instrument taking charge of a different note, they converge into one note and connect to the next music."
classical.00023_15s,"This is a spacious three-beat orchestral work. The high and low notes are long held by the strings, while the strings and woodwinds in the middle register are in charge of the harmonic changes and rhythms in detail."
classical.00024_15s,Orchestral work. Strings and woodwinds in the middle and lower registers play a bright melody. The melody is covered by strings and woodwinds in the upper register.
classical.00025_15s,"This is an orchestral work with a very fast tempo. The melody is busy moving around. The supporting bass notes play staccato, light rhythms, while in the background the accompaniment plays fine rhythms."
classical.00026_15s,"This is an orchestral work. All instruments participate and harmonise spectacularly. The percussion instruments are heard on timpani. After a long stretch and a break in the music, it transitions into a heartwarming melody."
classical.00028_15s,"This orchestral work has a gorgeous atmosphere. After the soft sound of the flute, there is a transition to a crisp string unison, followed by the powerful timpani. All instruments then come together in harmony."
classical.00029_15s,"This is an orchestral work with a powerful melody. The melody is played by the violins and supported by other instruments. Trumpets and other wind instruments join in the middle register with long notes, adding to the intensity. "
classical.00030_15s,"The piece is composed of several string instruments. The music sounds elusive, as if water were gushing and flowing in unison with the hamoly part that accompanies the melody perfectly. The dynamics are also very finely detailed."
classical.00031_15s,"This is ensemble music for violin, viola and cello. It is a small group, with one player in each part. The viola plays in pizzicato, while the violin and cello also play in staccato, creating a unique atmosphere."
classical.00033_15s,"The music consists of several string instruments. All strings participate in the chord-making and the harmonies are impressive, moving from unstable to soothing."
classical.00034_15s,"Music consisting of several string instruments. The tone of the violin in the upper register resonates prominently. The number of intertwined tones gradually increases, leading to a busy, shifting development."
classical.00035_15s,"This is a multi-string work. It starts with a very fine sound. The accents are impressive. The bass is always in the middle of the melody, which is also played in pizzicato technique."
classical.00037_15s,"This is a multi-string work. The cello's low notes are richly resonant. The high notes of the violin glide smoothly down into the middle register, bouncing and rolling before returning to the high notes again."
classical.00038_15s,This is a piece of contemporary music with multiple strings. The violins create a strange harmony. The cello bounces around freely in pizzicato playing in the midst of these harmonies.
classical.00039_15s,"This is a piece of contemporary music with multiple strings. The violins play ominous music. Multiple melodies intertwine precariously, engaging for a moment and then quickly disappearing except for a single note."
classical.00040_15s,"It seems to represent an eerie, uneasy scene, as if walking through a dark fog. The sounds of multiple string instruments narrowly collide with each other. The occasional pizzicato sound is impressive."
classical.00043_15s,"The music is performed by horns and piano. The horns are richly resonant. All the notes are played roundly and gently, and the chords used are warm and reassuringly enveloping."
classical.00044_15s,"Orchestral works. The clarinet, which is prominent in the solo, plays fine trills. The other wind instruments harmonise in close cooperation where the clarinet is stretching the notes."
classical.00045_15s,"This is a solo piano piece. The right and left hands move around alternately. Three melodies are heard in the middle, each with three voices."
classical.00047_15s,"Orchestral piece. The trumpet is playing a melody that sounds as if it is coming from far away, and the warm sound of the strings surrounds the melody."
classical.00048_15s,"This is an orchestral and piano piece. The cymbals are sounding spectacularly while all the instruments except the piano are playing the same notes in unison. The music then moves on to a light, moving music with only the piano."
classical.00049_15s,"This is a fast four-beat orchestral piece. The woodwinds and strings are crossing each other in a syncopated rhythm. Then a fast scale is repeated by the violins, gradually rising in register."
classical.00052_15s,"An orchestral work in time variation: the winds play a short phrase in 4/4 and 3/4 time all together, which is then imitated by the string section. The brass and cymbal timpani then join in and the piece progresses in a spectacular manner."
classical.00053_15s,"This is an ensemble work for several brass instruments. The trumpets play a spectacular harmony. Later, the bass instrument, the tuba, also joins in, adding depth to the music."
classical.00059_15s,This music is performed by a brass band. There is a timpani rhythm in the background. A brass melody and woodwind harmonies are heard. This is a polyphonic performance piece with several instruments.
classical.00060_15s,"This is an orchestral piece. The melody connects the violins, lower woodwinds and trumpets in that order. In the background, the tuba provides marching bass support, while the snare taps the rhythm lightly."
classical.00066_15s,"This is a solo piano piece. The left-hand accompaniment makes extensive use of staccato. You can hear the contrast between the bouncy, pretty parts and the slurred, smoothly played parts."
classical.00067_15s,Piano solo piece. Quiet harmonies are decorated with fine rhythmic arpeggios. The dynamics are very different and you can hear the difference between piano and forte.
classical.00070_15s,"This is an orchestral and harpsichord piece. It begins with an aufkt, then the strings and harpsichord play a clear melody in unison. The strings play a staccato rhythm and the winds are heard above."
classical.00071_15s,"This is an orchestral and harpsichord piece. The string count and harpsichord play the melody in unison for a long time. After the wind instruments have sounded out, all instruments stop playing in unison."
classical.00072_15s,"This is a work for several string instruments and harpsichord. The melody is played in a relaxed manner. As if in response to a question from the violin, the other instruments continue in the same rhythm as the violin."
classical.00074_15s,"The piece is for woodwinds, strings and harpsichord. It has a fast two-beat rhythm and the sound of the harpsichord can be heard moving busily along. The accompaniment supporting the melody is played constantly in staccato in all registers and is a source of driving force."
classical.00076_15s,"The piece is for woodwinds, strings and harpsichord. It has a very fast tempo. The harpsichord, which moves in the same way as the low strings, adds to the flamboyance of the piece."
classical.00081_15s,"Orchestral piece. Light flute sounds can be heard. Variations are used, as if along with the cello singing the melody freely. A double bass is sounding in the background."
classical.00084_15s,"This is an ensemble piece for woodwinds. The melody is sung by the oboe and then passed on to the clarinet. The bassoon supports the low notes. The harmonies sound rich and somewhat lonely, but the work is warm and lyrical."
classical.00085_15s,"This is a brass band piece. The piccolo plays the melody with a flourish and then transfers the melody to the brass instruments. In the background, the tuba sings in low tones, while the snare and large drums add to the range of dynamics."
classical.00086_15s,"This is a brass band piece. It is characterised by the sound of the xylophone playing the melody. The melody is mainly filled in by the strong sound of the brass instruments, which creates a contrast with the corolla and the lovely melody."
classical.00088_15s,This is a brass band piece. The high-pitched woodwinds are constantly busy. The melody played by the horns gives a brave feeling. The other brass instruments support the melody with harmonies in the same rhythm.
classical.00089_15s,This is a string piece. The multiple violins are all separated into different parts. Their tones play a thoughtful melody that represents the singing of birds.
classical.00091_15s,"This is a work for strings and harpsichord. The violins are playing a solo melody, while in the background the cello is extending a long note. At chord changes the harpsichord is gently playing harmonies."
classical.00092_15s,"Baroque music. The trills of the harpsichord sound graceful. After the strings have finished playing the heavy harmonies, the piccolo quietly plays the melody."
classical.00094_15s,"Several string instruments and the harpsichord are playing. The violins play a descending melody, then the descending melody is passed on to the cello and harpsichord. The piece has a beautiful atmosphere of lamentation."
classical.00095_15s,"This piece consists of several string instruments. A beautiful violin solo is heard. In the background, simple harmonies are playing. Suddenly an intense tone of multiple stringed instruments is heard, before returning to the original beautiful violin solo."
classical.00097_15s,"The violin, harpsichord and cello are playing. The melody is performed by the violins. The tune transitions from minor to major and back to minor again."
country.00006_15s,This is honest singing country. Light country guitar arpeggios and a harmonica can be heard. In the background there is an orthodox two-beat country rhythm with strong drums and bass.
country.00007_15s,"This is emotional ballad country. Over a slow, melodic bass, there is a stretched keyboard backing and light acoustic guitar phrases. It fits well with romantic scenes."
country.00008_15s,"This ballad country song has a slower tempo. The vocals and chorus are in beautiful harmony and the rhythm guitar provides a pleasant rhythmic backing. The whole song has a stretched feel to it, with a clear guitar solo. It has a peaceful atmosphere and is perfect for late afternoon drives or scenes with beautiful natural scenery and memories."
country.00009_15s,This is an intense country song. The vocals and chorus are powerful. Twin guitars develop a tense interplay. The low bass drum and bass give a sense of gravity. The music exudes strength and passion and is perfect for hot battle scenes or passionate scenes of pursuit.
country.00010_15s,"This is a laid-back, classic country song. The vocals and chorus are heard singing with clarity, while the piano plays a simple melody. The wood bass has a rustic sound and the brush-based drums provide a gentle rhythm. It creates a peaceful atmosphere, ideal for country scenes and laid-back everyday scenes."
country.00012_15s,This is a classic country song. You can hear clear singing and crisp acoustic guitar cutting. The wood bass provides a solid groove with a two-beat rhythm. This is country music at its best. Ideal for nature scenes and homely atmospheres.
country.00015_15s,"This is a rock-style country tune from the late 1960s and early 1970s. The electric guitar plays the melody in clear tones, while the bass provides the groove. The drums feature a fine beat punctuated by ride cymbals. The song combines nostalgia and vitality and is perfect for car driving scenes or retro café scenes."
country.00016_15s,"This is a country song with ride-back vocals. It is played by electric guitar, bass and drums, with the drums providing the rhythm on snare only. The electric guitar and bass play a distinctive two-beat, adding strength to the melody. The style is characterised by relaxed vocals, with the backing band supporting the groove. It is perfect for barbecues, outdoor parties and fun drives with friends."
country.00017_15s,"This is a flowing country instrumental song. Piano, synthesiser, bass and drums are played, with the synthesiser providing a full lead melody. The piano melody and synthesizers create an emotional stir, while the bass and drums provide a strong rhythmic support. It is perfect for scenes of scenic beauty or when you want to quieten your mind."
country.00018_15s,"This is a country song with female vocals. The vocals and chorus are distinctive, clear and vivid. Acoustic guitar cuts support the melody, which is accentuated by the distinctive tone of the steel guitar. The bass creates a groove with its powerful, resonant bass notes, while the drums tighten the rhythm. The piece evokes country landscapes and emotions."
country.00020_15s,"This is a country song with raised back vocals. The vocalist sings in a stretched voice, while the chorus is mainly rhythmic and highlights the melody. The guitar adds accents with delicate arpeggio playing. The drums play with brushes to create soft rhythms, while the bass creates the groove. Perfect for evening bars, live music performances and emotional scenes."
country.00021_15s,"Country tune. The guitar supports the rhythm with cutting, while the piano uses simple short notes to create accents. The bass creates a rhythmic sound with lively rhythmic patterns and the vocals are clear. The music evokes images of the wide open wilderness and countryside, and provides a relaxing mood."
country.00024_15s,"The male vocalist's voice is extended in this country song. Clear-toned guitars play long-toned, dispersed chords, while the bass guitar churns out monotonous patterns. The drums are simple, using only a snare and bass drum to create a dense rhythm. The sound is a harmony of transparency and power, allowing the vocals to stand out for their expressiveness. It is perfect for expansive scenes such as natural landscapes or driving."
country.00026_15s,"This country song features vocals with a powerful gravelly voice. It moves along at a medium tempo, with a piano providing a light melody and backing. Bass and drums support the rhythmic backbone and create an interplay with the vocals. The vocals have a roughness and depth to them and show a rich emotional expression. This music matches emotional scenes and scenes depicting inner conflicts."
country.00027_15s,"The light tempo of this cantorenito is characteristic. The piano provides a light accompaniment, while the vocals and chorus create a beautiful harmony in unison. The harmonica melody gives the song a relaxed atmosphere. The rhythm section drums and bass form the background with their strong, natural tone. The mood is light and fun, perfect for fun scenes and outdoor activities."
country.00028_15s,"Country with a relaxed, swinging rhythm. The vocalist sings with a clear voice. Acoustic guitar provides a solid rhythm and steel guitar adds a soft resonance. There are elements of ballad country, with the vocalist's voice creating a relaxed atmosphere and giving the listener a feeling of travel."
country.00029_15s,"This is classic country with light arpeggios on the banjo. The vocalist has a strong, low-pitched voice. The banjo arpeggio enlivens the rhythm and the bass provides the rhythmic foundation and strength. The homely atmosphere of this piece gives it all the charm of country. It will work well for outdoor events and other occasions."
country.00030_15s,"Slow-tempo country. The electric guitar uses bottleneck technique to add glissandos and glides to the melody. The acoustic guitar provides backing with delicate arpeggios and a soft tone. The drums play simple, subtle rhythms, using only cymbals. This music is perfect for quiet evenings and sad scenes."
country.00034_15s,"Up-tempo country. Intense guitar solo with a natural tone, monotonous but fine rhythm on the drums, and snare beating. The harmony between the powerful guitar solo and the rhythm creates excitement and freedom. It is perfect for lively country dance parties, driving scenes through vast landscapes, adventures and pursuits."
country.00035_15s,"This country song is sung in a powerful bass tone by a growl-voiced male vocalist. Male and female chorus sing in harmony. The banjo plays a catchy melody, while the bass provides a solid two-beat. Drums support the rhythm with a strong, natural sound quality. Suitable for scenes of motorcyclists riding through the wilderness and for building excitement in fist fights."
country.00036_15s,"This country tune has a deep reverb quality. Vocals and guitars are the main performers, with synthesisers providing effective string sounds. Occasionally the guitars are used to great effect with arpeggios and the bells ring loudly. It matches mysterious scenes in the forest at night, for example."
country.00039_15s,This energetic country song features lively singing in male/female unison. The guitars showcase effective riffs in between. The bass moves violently and tightens the rhythm. There are also moments when the piano solo cuts in sharply. It creates a lively atmosphere and is perfect for dance parties and other bright and lively occasions.
country.00040_15s,"Country-blues music. Light bassline with running bass. The rhythm has a shuffle feel and a groove. The vocals are clear and emotive. The guitar has a blues-infused approach and the drums are strong and groovy. It is perfect for scenes that create a night-time bar or club atmosphere, emotional moments and melancholy scenes."
country.00041_15s,This country-rock song features low-pitched vocals. The twin guitars with their effects stand out. The bass bass matches the rhythm beautifully and adds strength. The vocals are powerful and emotionally charged. The drive of the guitars and drums gives the song a fast-paced feel. It is perfect for use in active or energetic sports scenes.
country.00042_15s,"This is an up-tempo country song. It features effective interplay between moderately distorted guitars and the bass has a natural tone that matches the rhythm. The music has a good groove and is full of energy that makes you want to dance. Ideal for lively party scenes, festivals and other fun and lively occasions."
country.00044_15s,"Slow ballad. Synthesisers fill the space alongside the vocals, while the drums simply punctuate the backbeat with snare rimshots. The bass and acoustic guitar are less frequent, giving a sense of depth to the expanse of sound."
country.00045_15s,"The backbeat is simple and heavy, with an emphasis on the backbeat. Distorted electric guitar complements the female vocals."
country.00046_15s,Country music. A stretched male vocal is heard over a two-beat bass and drum rhythm with banjo backing. The song has a strong country flavour.
country.00048_15s,Country music. It consists of a simple yet groovy shuffle beat and do-wop. The male bass chorus and alto saxophone complement the vocals.
country.00050_15s,Country music. The rhythm consists of a simple eight beat with drums and a relaxed bass line. The melody is played in response to the vocals by an electric guitar.
country.00052_15s,"This is a laid-back country song with beautiful male and female harmonies. The piano provides a pleasant auxiliary sound, while the guitar plays a relaxed cut. The vocals and chorus sing strongly and create a warm atmosphere. This music is perfect for peaceful landscapes and campfire scenes."
country.00053_15s,"Dynamic country music. Powerful vocals resonate and the fiddle captures the heart with catchy phrases. The guitars cut powerfully, while the rhythm section has a powerful drumming rhythm and the bass adds a groove. This music is perfect for wild dance parties and dynamic sporting events."
country.00054_15s,"This is a ride-back country tune. The vocalist sings passionately and grabs the listener's attention. The twin guitars add colour to the melody with exquisite harmonies, while the lead guitar plays a high, delicate chorus. The rhythm guitar creates a pleasant groove with low arpeggios, while the drums and bass provide a monotonous but steady feel. This music is the perfect soundtrack to a free-travelling landscape."
country.00056_15s,"The country music is full of clarity. The guitar cutting is clear and pleasant, and the long-toned harmonies of the vocals and chorus sound appealing. The bass has a rustic sound and gives a down-to-earth presence. The piano also adds a delicate touch to the melody. This music is perfect for quiet day-to-day scenes and scenes that are close to the inner heart."
country.00059_15s,"This country song has an airy atmosphere. The vocals are vividly sung, while the synthesizers play delicate melodies in clear, crystalline tones. Guitar accompaniment adds to the atmosphere, while the drums provide an emotional rhythm. The bass brings warmth with its natural resonance. This music is perfect for sunset walks and scenes that blend comfortably with dreamy natural landscapes."
country.00062_15s,"This rockabilly country song appeared in the 1950s. The vocalist sings with great power and the soprano saxophone plays a vibrant melody. The guitars cut a thick tone, while the drums and bass provide a strong rhythm. This music is perfect for thrilling situations like a party scene with dancing and fun or a retro car chase!"
country.00067_15s,"This is a moody mellow country song. The vocals captivate with their deep voice, while the piano provides a simple but effective chorus. The guitar adds colour to the melody with delicate arpeggios, while the drums create a unique atmosphere with their rim shots. The bass has a subdued sound that adds a pleasant depth to the song. This music is perfect for ethereal night scenes and sentimental memories."
country.00070_15s,"This is an up-tempo country song with a cheerful and dynamic feel. The vocals resonate strongly, while the guitar provides a rich tone for the chorus. The drums groove around the snare, while the bass is lively and creates an energetic atmosphere. It will work well in bright, lively scenes and fun events."
country.00071_15s,"This is a moist, melodic country musical piece. The vocals are soft and delicate and sound close to the heart. The piano provides a gentle accompaniment with a graceful touch, while the female chorus provides gentle harmonies. It creates an emotionally rich and pleasant atmosphere, perfect for calm and soothing film scenes or situations where the listener is in a relaxed environment."
country.00072_15s,"This is a traditional country rock music piece that was popular in the 1950s and 1960s. The vocals are sung cheerfully. The chorus is soft and soft with beautiful harmonies from the female vocalists. The banjo adds to the accompaniment with its distinctive rhythm and bright tone. The guitars play to enrich the melodies, while the bass and drums provide solid rhythmic support."
country.00073_15s,"Storytelling vocals resonate in this medium-tempo country music piece. The vocals speak to the audience. The piano is present as an accompaniment and plays a gentle rhythm, accompanying the melody. The guitar is clear-toned and back-beating, while the bass adds depth while supporting the melody. On the drums, the bass drum sounds pleasant and tightens the rhythm. This music is perfect for relaxing in a café with a calm atmosphere."
country.00074_15s,"This is a piano ballad country music piece with a delicate piano accompaniment. The male vocalist's extended voice resonates with the heart, while the strong baritone chorus adds depth. It is a perfect blend of delicacy and power with an emotional narrative. It is perfect for soothing the soul in a café or a calm, candlelit space."
country.00078_15s,"This lazy country music piece features languid country vocals and natural, strong guitar accompaniment. The combination creates the atmosphere of a lazy afternoon and relaxes the listener. This music is perfect for listening to while relaxing in a laid-back café or on the sofa."
country.00079_15s,"Airy country music piece. The languid country vocals sing gracefully and the guitar tone soars lightly. The drums are rim-shot only and play delicate rhythms. The atmospheric atmosphere invites the listener into a world of elegance. This music is ideal for listening to in a quiet café or in a peaceful natural setting, perfect for calming and relaxing situations."
country.00080_15s,"This is a classic piece of country music with attractive male vocals and female chorus. The light banjo tone is pleasant and the harmonica provides a stretching melody. The standard country rhythm plays in the background and strong drums support the whole piece. This piece is perfect for fun events such as country dances and barbecue parties, or for intimate occasions such as drives and picnics in the open countryside."
country.00081_15s,"This is an attractive rock-country musical piece with strong male vocals. The lead guitar has a thick tone, effectively creating a chorus. Gentle-toned rhythm guitar wraps the melody. Strong drums and bass support the rhythm and add power to the whole piece. This piece is perfect for scenes that demand strength and liveliness."
country.00082_15s,"This is an energetic rock-country musical piece. The tricky lead guitar makes its presence felt with its sharp tone and unique phrasing. The bass provides solid rhythmic support, while the drums keep the whole thing tight with a strong beat. This piece is perfect for sports matches, action scenes or any scene where encouragement and encouragement are needed."
country.00083_15s,"This is a ballad-country music piece with clear arpeggios. The vocals have a real sense of urgency, and the strings enter effectively in the middle of the song to enhance the emotion. The guitars and drums are monotonously supported by the bass, creating an overall resonance. This piece is perfect for quiet scenes, wistful scenes and scenes depicting the inner workings of the heart."
